,Name,Symbol,Year,Mon,Day,High,Low,Open,Close,Volume,Marketcap,o_avg,c_avg,Price1,Volume1,Popularity
0,NEM,XEM,2015,4,1,0.000329675996909,0.000218265005969,0.000242146998062,0.000240520996158,22754.3665364583,2492531.99972333,0.000275526331582,0.000276947997918,0.000175593572619,12666.3200334821,2.2241243866127
1,NEM,XEM,2015,4,2,0.000258571992163,0.000123057994642,0.000245472008828,0.000153411005158,12666.3200334821,1580342.14268286,0.000188701145817,0.000175593572619,0.000148943712702,6424.5,0.956888882254134
2,NEM,XEM,2015,4,3,0.000173837004695,0.000128412997583,0.000155511996127,0.000136820002808,6424.5,1340493.42842286,0.000152223286152,0.000148943712702,0.00014617566679,2785.73733181424,0.407207011979281
3,NEM,XEM,2015,4,4,0.000167902006069,0.000127470993903,0.00013701300486,0.000157136004418,2785.73733181424,1315580.99985333,0.00014357755491,0.00014617566679,0.000150058285466,2403.18089948382,0.360617205441812
4,NEM,XEM,2015,5,1,0.00015979600721,0.00013697000395,0.000156998998136,0.000156462992891,2403.18089948382,1350524.57127714,0.000149813713506,0.000150058285466,0.000156432568994,2486.74159458705,0.389007376064707
5,NEM,XEM,2015,5,2,0.000173667998752,0.000140133997775,0.000156377005624,0.000159978997544,2486.74159458705,1407893.14270143,0.000155911712292,0.000156432568994,0.000166041138332,6513.84443010603,1.08156614409543
6,NEM,XEM,2015,5,3,0.000185226002941,0.000154327004566,0.000159992006957,0.00017221699818,6513.84443010603,1494370.28554857,0.000163937143433,0.000166041138332,0.00018361259863,6087.40598144531,1.1177244311698
7,NEM,XEM,2015,5,4,0.000209920006455,0.000167599995621,0.000172200001543,0.000176696004928,6087.40598144531,1652513.399815,0.000182864502131,0.00018361259863,0.000173461997682,3433.50430733817,0.595582516200502
8,NEM,XEM,2015,6,1,0.000184536998859,0.000163386997883,0.00017672899412,0.000167706995853,3433.50430733817,1561157.99982571,0.000174724428299,0.000173461997682,0.00015415085779,4362.33851841518,0.672458224582784
9,NEM,XEM,2015,6,2,0.000172735002707,0.000131811000756,0.000167784004589,0.000155251997057,4362.33851841518,1387357.71413,0.000156186144782,0.00015415085779,0.000159217427219,5303.02759660993,0.844334410401464
