,Name,Symbol,Year,Mon,Day,High,Low,Open,Close,Volume,Marketcap,o_avg,c_avg,Price1,Volume1,Popularity
34,USD Coin,USDC,2019,6,4,1.03904274418,0.993659167701,0.998379271014,1.00319240665,202102276.383456,354722007.771595,1.00109017149589,1.00168033490333,0.999511640210143,143333710.319059,143263711.898408
35,USD Coin,USDC,2019,7,1,1.01453080728,0.988103716296,1.00319240665,0.996719608103,143333710.319059,367761626.396611,1.00041155047343,0.999511640210143,0.999770099272428,141870263.571533,141837647.494717
36,USD Coin,USDC,2019,7,2,1.01474442143,0.986717664544,0.996835959685,0.998567845939,141870263.571533,378503215.000106,0.999226802355571,0.999770099272428,1.00174932329114,136331162.588021,136569649.866045
37,USD Coin,USDC,2019,7,3,1.01647183549,0.985635833071,0.999675155035,1.00143141244,136331162.588021,407083642.513794,1.00180958938471,1.00174932329114,1.002148974356,78903187.5333429,79072748.4599587
38,USD Coin,USDC,2019,7,4,1.0179735432,0.987131796454,1.00115734236,1.00169254739,78903187.5333429,423580682.146808,1.001841401061,1.002148974356,1.00068187246471,153217810.566206,153322285.572335
39,USD Coin,USDC,2019,8,1,1.01867455384,0.991843293622,1.00161451627,1.00115604135,153217810.566206,427330209.529328,1.00087902417914,1.00068187246471,1.000279943964,109639757.886057,109670450.874492
40,USD Coin,USDC,2019,8,2,1.02271134522,0.994047567049,1.00115604135,1.00196755109,109639757.886057,423104721.901942,1.00029024168743,1.000279943964,1.000978045698,111841159.848642,111950545.613891
41,USD Coin,USDC,2019,8,3,1.01717116627,0.986851924041,1.00196755109,0.999723263966,111841159.848642,421717534.898827,1.00124267371,1.000978045698,1.0014277085573,147809515.083601,148020543.993136
42,USD Coin,USDC,2019,8,4,1.02849017537,0.98723615603,0.999723263966,1.0034421441,147809515.083601,438719245.272342,1.0010936701249,1.0014277085573,1.00071723846086,201950650.265905,202095497.03947
43,USD Coin,USDC,2019,9,1,1.01708832328,0.990110056753,1.00345580308,1.00240586954,201950650.265905,444463578.745439,1.00107221533014,1.00071723846086,1.000734391998,211169720.887574,211324802.240813
44,USD Coin,USDC,2019,9,2,1.01689308176,0.990454785986,1.0021811651,0.999346281114,211169720.887574,434735830.457644,1.00127600373157,1.000734391998,1.00196487838657,190547609.812163,190922012.692296
45,USD Coin,USDC,2019,9,3,1.02515443076,0.990057106594,0.999346281114,1.00305986134,190547609.812163,407776100.328744,1.00167524559629,1.00196487838657,1.00377067986778,170506203.960839,171149128.271446
46,USD Coin,USDC,2019,9,4,1.05504697891,0.99123571359,1.00349436755,1.00138555574,170506203.960839,413646114.651333,1.00395520790222,1.00377067986778,1.00429715895571,164344667.637417,165050882.797779
47,USD Coin,USDC,2019,10,1,1.02189559188,0.995452798698,1.00068419909,1.00549193824,164344667.637417,465664239.018287,1.00338509300629,1.00429715895571,1.00322590390143,188024779.720321,188631329.590786
48,USD Coin,USDC,2019,10,2,1.0153552344,0.990912661467,1.00485725729,1.0027494228,188024779.720321,465353214.276245,1.0034664515,1.00322590390143,1.00297110856143,187258338.85477,187814703.70854
49,USD Coin,USDC,2019,10,3,1.01513044919,0.990778753108,1.00294865716,1.00258788747,187258338.85477,474871415.816373,1.00292827153143,1.00297110856143,1.0022281158648,245541904.003148,246088999.81493
50,USD Coin,USDC,2019,10,4,1.04057667251,0.967925899417,1.0022241412,1.00497466139,245541904.003148,472154972.294682,1.0020067196616,1.0022281158648,1.00306128577,253639681.978068,254416145.527215
51,USD Coin,USDC,2019,11,1,1.01252884533,0.99143464448,1.00526145728,1.00610398312,253639681.978068,461259900.065131,1.00305474451714,1.00306128577,1.00325697521257,224684790.692534,225416583.486462
52,USD Coin,USDC,2019,11,2,1.01469862346,0.987540048207,1.00595149417,1.00693851263,224684790.692534,450431193.228642,1.00322607833714,1.00325697521257,1.00766979433714,266951801.336021,268999266.750198
53,USD Coin,USDC,2019,11,3,1.02922633007,0.998941837044,1.0075779672,1.00404241885,266951801.336021,442719433.658776,1.00824932089286,1.00766979433714,1.00501640792089,275309247.509,276690310.998898
54,USD Coin,USDC,2019,11,4,1.03153174744,0.985044036116,1.00404241885,0.997657824118,275309247.509,454793669.658021,1.00490946476111,1.00501640792089,1.00301427539814,257949073.16209,258726602.707296
55,USD Coin,USDC,2019,12,1,1.01434190254,0.981534749047,0.997869139209,1.0065594854,257949073.16209,460079118.391412,1.00183307988629,1.00301427539814,1.00503175549,271332386.748248,272697664.974884
56,USD Coin,USDC,2019,12,2,1.01394771123,0.99532555547,1.00636330575,1.00686567807,271332386.748248,476319305.911254,1.00514426111714,1.00503175549,1.00576476169671,327427911.152584,329315455.033231
57,USD Coin,USDC,2019,12,3,1.03440095997,0.99373655416,1.00686567807,1.00774607091,327427911.152584,491645837.705385,1.00555494021314,1.00576476169671,1.006030636096,282020186.052512,283720947.166321
58,USD Coin,USDC,2019,12,4,1.02734343713,0.995126951942,1.00775586439,1.00372950438,282020186.052512,520734191.960293,1.006555702179,1.006030636096,1.004993017848,341220281.519902,342924000.47563
59,USD Coin,USDC,2020,1,1,1.0187177638,0.988455243757,1.00372950438,0.999499895096,341220281.519902,511214044.717198,1.00568690760143,1.004993017848,1.00371328091143,356907080.559007,358232376.8084
60,USD Coin,USDC,2020,1,2,1.01953731021,0.992388114165,0.999983360841,1.00237063584,356907080.559007,447968960.228315,1.00352940843871,1.00371328091143,1.00205875736171,413651370.11304,414502977.916443
61,USD Coin,USDC,2020,1,3,1.0269604392,0.992191535722,1.0015397985,1.00264150996,413651370.11304,441054811.536054,1.00176836197529,1.00205875736171,1.016032208847,345919726.674778,351465583.977125
62,USD Coin,USDC,2020,1,4,1.05186779955,0.994215290383,1.00201901179,1.02837411068,345919726.674778,449103624.029502,1.013339455018,1.016032208847,1.02572622913286,444908388.243976,456354203.383071
63,USD Coin,USDC,2020,2,1,1.03682834254,1.01477310336,1.02859489164,1.01693135753,444908388.243976,438795791.168566,1.02723488653143,1.02572622913286,1.02098000990571,741956944.754511,757523208.805074
64,USD Coin,USDC,2020,2,2,1.04679837259,1.00474822397,1.01729096726,1.01672269822,741956944.754511,431037858.151075,1.02070810022143,1.02098000990571,1.01173685286,905900825.199802,916533249.890925
65,USD Coin,USDC,2020,2,3,1.04607735687,1.00376171813,1.01672269822,1.0112246099,905900825.199802,430574677.413464,1.01273259567,1.01173685286,0.999782828405625,1047300115.21518,1047072671.37936
66,USD Coin,USDC,2020,2,4,1.01884922708,0.991505132518,1.01073109237,1.00458627147,1047300115.21518,428803481.580081,1.00078686203463,0.999782828405625,1.000122696081,1006025058.7547,1006148494.0868
67,USD Coin,USDC,2020,3,1,1.00865090057,0.993333377114,1.00478010793,1.0004124922,1006025058.7547,454685162.82367,1.00059434121957,1.000122696081,1.00727457201386,1231297825.76568,1240254990.46972
68,USD Coin,USDC,2020,3,2,1.07909903205,0.929221745866,1.0004124922,1.00049708731,1231297825.76568,481197627.762113,1.00670548221086,1.00727457201386,0.991672987122429,818080327.445752,811268162.024224
69,USD Coin,USDC,2020,3,3,1.04319338605,0.949525840908,0.998445267418,1.00091420441,818080327.445752,619025805.394114,0.990192522091,0.991672987122429,0.9968390783073,780555492.266748,778088217.478886
70,USD Coin,USDC,2020,3,4,1.02440505064,0.96330666139,0.999032941521,1.00133389709,780555492.266748,679604136.599183,0.9967156596297,0.9968390783073,0.998881013993857,859324699.113698,858363126.800657
71,USD Coin,USDC,2020,4,1,1.01492069759,0.966786917053,1.00133389709,0.996328306208,859324699.113698,690865855.420038,0.999790818600429,0.998881013993857,0.998535911092,758087589.765615,756977682.134147
72,USD Coin,USDC,2020,4,2,1.01103556257,0.980156182155,0.996104241242,0.995927245352,758087589.765615,711003017.615961,0.998331465512143,0.998535911092,1.00242384553743,797400405.441321,799333180.855593
73,USD Coin,USDC,2020,4,3,1.01088712649,0.967281797172,0.994888242733,1.00243256694,797400405.441321,728431390.944309,1.00140283498071,1.00242384553743,1.00188539497633,457015177.26347,457876831.382791
74,USD Coin,USDC,2020,4,4,1.01006515042,0.982146992243,1.00203131474,1.00182132819,457015177.26347,737788722.499398,1.00187687465678,1.00188539497633,1.00249897761814,543781468.282824,545140366.001224
75,USD Coin,USDC,2020,5,1,1.01275988929,0.989498415115,1.00182132819,1.00092397262,543781468.282824,708359312.100028,1.00255286498271,1.00249897761814,1.00060080882086,534567079.211138,534888251.827668
76,USD Coin,USDC,2020,5,2,1.01034819782,0.962438957784,1.00092397262,0.996882721586,534567079.211138,706663704.852595,1.00072116124671,1.00060080882086,1.00036691252386,634925353.180462,635158315.244258
77,USD Coin,USDC,2020,5,3,1.01755694262,0.992697841782,0.996757004638,1.00199838009,634925353.180462,706498518.074479,0.999518536242286,1.00036691252386,1.0021276091159,441815291.355651,442755301.597084
78,USD Coin,USDC,2020,5,4,1.0142983567,0.993065119205,1.00260322666,1.0024694829,441815291.355651,727086210.93226,1.0018948091989,1.0021276091159,1.00078048745086,355514233.240918,355791707.638564
79,USD Coin,USDC,2020,6,1,1.00960328901,0.982528674206,1.00217967956,1.00167050325,355514233.240918,733466532.714396,1.00100124972643,1.00078048745086,1.00145448557357,279732923.831109,280139791.333274
80,USD Coin,USDC,2020,6,2,1.00887913422,0.988234287148,1.00178197706,1.00457263303,279732923.831109,734810375.744447,1.00104642801014,1.00145448557357,1.00064177193686,287522609.883765,287707133.826
81,USD Coin,USDC,2020,6,3,1.01261250972,0.991557134442,1.00457263303,1.00220937689,287522609.883765,732714491.921578,1.00102645324357,1.00064177193686,1.00062943358844,268606750.337792,268775820.448538
82,USD Coin,USDC,2020,6,4,1.01136791287,0.989728956295,1.00214489433,0.999702971525,268606750.337792,927503323.709597,1.00080702905344,1.00062943358844,1.00043644119457,252929099.729602,253039488.408029
83,USD Coin,USDC,2020,7,1,1.00956071099,0.992793832165,0.999957928572,1.00014508843,252929099.729602,1013712083.49873,1.00018245448914,1.00043644119457,1.00044724164914,271835975.90745,271957552.277611
84,USD Coin,USDC,2020,7,2,1.00682102069,0.995128246885,1.00021351313,0.998807791488,271835975.90745,1093278500.72167,1.00065731232443,1.00044724164914,0.99853251045,253087885.935631,252716482.107789
85,USD Coin,USDC,2020,7,3,1.00684559346,0.994139512283,0.998681839572,0.997548379427,253087885.935631,1109078837.70554,0.998773231666429,0.99853251045,0.9995114370132,335596653.921682,335432693.818081
86,USD Coin,USDC,2020,7,4,1.01306885518,0.991874566226,0.997712152454,1.00648333218,335596653.921682,1129932476.05398,0.9984641076242,0.9995114370132,0.999210659366286,382586279.299302,382284288.403149
87,USD Coin,USDC,2020,8,1,1.02043469403,0.992634536787,1.00648333218,1.00026867966,382586279.299302,1084648247.95197,1.00009126082257,0.999210659366286,1.00201082130957,392574235.65994,393363632.298594
88,USD Coin,USDC,2020,8,2,1.01461036765,0.996069724977,1.00043501178,0.999605160306,392574235.65994,1153825393.71996,1.00209998470729,1.00201082130957,1.00018972087014,393649172.35314,393723855.81665
89,USD Coin,USDC,2020,8,3,1.00655912415,0.994422067594,0.999649564696,1.00243351903,393649172.35314,1252704741.56359,0.999749105320428,1.00018972087014,1.0013899401673,333978664.025639,334442874.38579
90,USD Coin,USDC,2020,8,4,1.00669640812,0.997564009535,1.00230211015,1.00390912946,333978664.025639,1406405001.6537,1.0011532034989,1.0013899401673,1.00217442302,521044400.162808,522177371.100964
91,USD Coin,USDC,2020,9,1,1.01482912791,0.997070952846,1.00364932643,1.00154091117,521044400.162808,1637536785.8795,1.00277276872143,1.00217442302,1.00208689411857,426244056.339093,427133582.553343
92,USD Coin,USDC,2020,9,2,1.01163997833,0.99579181683,1.00162959028,1.00193921216,426244056.339093,1907987498.24745,1.00209907229571,1.00208689411857,1.00035256500257,419561774.516532,419709697.314644
93,USD Coin,USDC,2020,9,3,1.04100154593,0.988464261753,1.00198497716,1.00184313977,419561774.516532,2200526338.11543,1.00033776378186,1.00035256500257,1.00045732457222,398672712.624733,398855035.45249
94,USD Coin,USDC,2020,9,4,1.0024763186,0.999342431508,1.00193068022,1.00056409,398672712.624733,2497083402.62905,1.00066326669111,1.00045732457222,1.00059693,370439158.085072,370660284.331707
95,USD Coin,USDC,2020,10,1,1.00257373,0.996671,1.00056569,1.0001681,370439158.085072,2616873766.95809,1.00065950142857,1.00059693,1.00054618571429,381727295.876528,381935789.872289
96,USD Coin,USDC,2020,10,2,1.00150687,0.99981392,1.00016526,1.00080262,381727295.876528,2802553044.17221,1.00040278714286,1.00054618571429,1.00042913142857,415935887.869379,416114379.031135
97,USD Coin,USDC,2020,10,3,1.00164051,0.99892413,1.00086424,0.99995623,415935887.869379,2732433753.40855,1.00047300714286,1.00042913142857,1.000136904,739780256.229728,739881535.105927
98,USD Coin,USDC,2020,10,4,1.00103818,0.99783694,0.99997652,1.00027771,739780256.229728,2825457330.88826,1.000109296,1.000136904,1.00016025285714,485273083.799395,485350850.197568
99,USD Coin,USDC,2020,11,1,1.00094218,0.98999456,1.00027771,1.00010125,485273083.799395,2895504413.24871,1.00018546142857,1.00016025285714,0.999972564285714,493604403.402433,493590861.013051
100,USD Coin,USDC,2020,11,2,1.00099621,0.9988863,1.00010125,1.00022437,493604403.402433,2826368713.34465,0.999954975714286,0.999972564285714,1.00010643142857,530264250.352771,530320687.134456
101,USD Coin,USDC,2020,11,3,1.0008512,0.99826107,1.00022437,0.9999918,530264250.352771,2804939543.01152,1.00010928714286,1.00010643142857,1.00011021444444,671323366.787467,671397356.31938
102,USD Coin,USDC,2020,11,4,1.00130433,0.99563957,0.9999918,1.00019227,671323366.787467,2905984106.87343,1.00008988777778,1.00011021444444,1.00008905142857,601987527.285709,602041135.134996
103,USD Coin,USDC,2020,12,1,1.00081762,0.99900185,1.00019227,1.00000792,601987527.285709,3004020627.31724,1.00011541285714,1.00008905142857,1.00011291571429,525148235.839402,525207533.327557
104,USD Coin,USDC,2020,12,2,1.00894295,0.99433412,1.00000797,0.99997186,525148235.839402,3155079663.43726,1.00011276714286,1.00011291571429,0.999934812857143,819874188.651914,819820743.396054
105,USD Coin,USDC,2020,12,3,1.0006811,0.99844928,1.00007251,0.99986641,819874188.651914,3314736868.86177,0.999937502857143,0.999934812857143,0.999988164,999421414.941066,999409585.789199
106,USD Coin,USDC,2020,12,4,1.00175063,0.99217691,0.99986641,0.99980675,999421414.941066,3589811177.45425,1.000012302,0.999988164,0.999490631428571,1767439187.77581,1766538909.80165
107,USD Coin,USDC,2021,1,1,1.00060967,0.99709741,0.99980687,0.99791185,1767439187.77581,4242585834.90906,0.999764021428572,0.999490631428571,1.00000381857143,2051329002.94763,2051336836.09395
108,USD Coin,USDC,2021,1,2,1.00325481,0.99790823,0.99791049,1.00011509,2051329002.94763,4659616663.11563,0.999699132857143,1.00000381857143,1.00023955571429,1694808367.45118,1695214368.48022
109,USD Coin,USDC,2021,1,3,1.00181048,0.99950776,1.00011659,1.00041884,1694808367.45118,5103160914.62527,1.00019139285714,1.00023955571429,1.000011289,1634792357.68635,1634810812.85728
110,USD Coin,USDC,2021,1,4,1.00188156,0.99847082,1.00041881,0.99996079,1634792357.68635,5587915654.36887,0.999981937,1.000011289,0.999955391428572,1691516402.56571,1691440946.43545
111,USD Coin,USDC,2021,2,1,1.00094679,0.9983192,1.0000706,0.99988628,1691516402.56571,6131131617.95714,0.99998493,0.999955391428572,0.999915515714286,2008969431.64,2008799705.29255
112,USD Coin,USDC,2021,2,2,1.00234893,0.9982476,0.99983459,1.00002547,2008969431.64,6833580490.93,0.99989551,0.999915515714286,0.999984094285714,2177474630.09,2177439995.80067
113,USD Coin,USDC,2021,2,3,1.00118637,0.99956048,1.00002558,0.99994535,2177474630.09,7391753245.79571,0.999990355714286,0.999984094285714,1.00010196166667,2845367547.54333,2845657665.96076
